Nombre,Autor,Calificacion,Review,Plato_Estrella,Distrito,Tipo_comida
Maido,Paola Miglio,10,"Una experiencia sublime con sabores japoneses-peruanos perfectamente equilibrados. El nigiri de wagyu es una obra maestra.","Nigiri de wagyu","Miraflores","Japonesa"
Maido,Vicente Visla,9,"El menú degustación es una travesía de texturas y técnicas. El ceviche nikkei destaca por su frescura.","Ceviche nikkei","Miraflores","Japonesa"
Maido,Elfoodieloo,10,"Cada plato sorprende. El arroz con mariscos al estilo japonés fue mi favorito.","Arroz con mariscos nikkei","Miraflores","Japonesa"
Central,Paola Miglio,10,"Una oda a los insumos peruanos. El plato de altiplano con tubérculos es inolvidable.","Altiplano","Barranco","Fusión"
Central,Antojaddos,9,"El viaje por pisos ecológicos es único. El plato marino con algas fue espectacular.","Marino con algas","Barranco","Fusión"
Central,Atodocomer,10,"Innovación y tradición se mezclan. El plato amazónico con cecina y plátano fue el más impactante.","Amazonía","Barranco","Fusión"
La Mar,Elfoodieloo,9,"El mejor tiradito que he probado. Frescura y acidez en perfecta armonía.","Tiradito de ají amarillo","Miraflores","Pescados y mariscos"
La Mar,Vicente Visla,8,"Buen ambiente y excelente atención. El arroz con mariscos fue potente y sabroso.","Arroz con mariscos","Miraflores","Pescados y mariscos"
La Mar,Antojaddos,9,"Ideal para almuerzo con amigos. El ceviche clásico es insuperable.","Ceviche clásico","Miraflores","Pescados y mariscos"
El Bodegón,Atodocomer,8,"Comida criolla con sazón casera. El ají de gallina tiene el punto perfecto.","Ají de gallina","Miraflores","Criollo"
El Bodegón,Yo Madre,9,"Me recordó a la cocina de mi abuela. El lomo saltado fue jugoso y bien sazonado.","Lomo saltado","Miraflores","Criollo"
El Bodegón,Paola Miglio,8,"Buena relación calidad-precio. El arroz con pato fue el plato estrella.","Arroz con pato","Miraflores","Criollo"
Isolina,Antojaddos,9,"Comida criolla contundente y sabrosa. El seco de res es puro sabor casero.","Seco de res","Barranco","Criollo"
Isolina,Yo Madre,8,"Porciones generosas y ambiente familiar. El arroz tapado fue el favorito de la mesa.","Arroz tapado","Barranco","Criollo"
Isolina,Atodocomer,9,"Ideal para compartir platos tradicionales. El chicharrón con camote fue espectacular.","Chicharrón con camote","Barranco","Criollo"
Osso,Vicente Visla,10,"Carnes de altísima calidad. El tomahawk fue cocido a la perfección.","Tomahawk","San Isidro","Americana"
Osso,Elfoodieloo,9,"Un templo para carnívoros. El brisket ahumado fue jugoso y lleno de sabor.","Brisket ahumado","San Isidro","Americana"
Osso,Antojaddos,10,"Atención impecable y cortes premium. El pulled pork fue el más memorable.","Pulled pork","San Isidro","Americana"
Rafael,Paola Miglio,9,"Alta cocina peruana con toques modernos. El ravioli de ají amarillo fue delicado y sabroso.","Ravioli de ají amarillo","Miraflores","Fusión"
Rafael,Yo Madre,8,"Ambiente elegante y platos bien ejecutados. El tartar de lomo fue una delicia.","Tartar de lomo","Miraflores","Fusión"
Rafael,Atodocomer,9,"Creatividad y técnica en cada plato. El pulpo anticuchero fue el más sorprendente.","Pulpo anticuchero","Miraflores","Fusión"
Panchita,Elfoodieloo,8,"Comida criolla con sabor intenso. La causa limeña fue fresca y bien presentada.","Causa limeña","Miraflores","Criollo"
Panchita,Vicente Visla,9,"Ideal para reuniones familiares. El anticucho de corazón fue el favorito.","Anticucho de corazón","Miraflores","Criollo"
Panchita,Antojaddos,8,"Platos tradicionales con buena sazón. El tacu tacu con lomo saltado fue excelente.","Tacu tacu con lomo saltado","Miraflores","Criollo"
Nombre,Autor,Calificacion,Review,Plato-estrella,Distrito,Tipo_comida
Amaz,Paola Miglio,9,"Sabores amazónicos auténticos y bien ejecutados. El juane de cecina fue una revelación.","Juane de cecina","San Isidro","Fusión"
Amaz,Antojaddos,8,"Decoración selvática y platos exóticos. El tacacho con chorizo fue potente y sabroso.","Tacacho con chorizo","San Isidro","Fusión"
Amaz,Elfoodieloo,9,"Una experiencia distinta en Lima. El inchicapi fue reconfortante y lleno de sabor.","Inchicapi","San Isidro","Fusión"
Osaka,Vicente Visla,10,"Fusión japonesa-peruana de alto nivel. El tiradito de salmón con miso fue sublime.","Tiradito de salmón con miso","San Isidro","Japonesa"
Osaka,Atodocomer,9,"Ambiente sofisticado y platos creativos. El sushi acevichado fue el más memorable.","Sushi acevichado","San Isidro","Japonesa"
Osaka,Yo Madre,9,"Perfecto para una cena especial. El ramen con langostinos fue sorprendente.","Ramen con langostinos","San Isidro","Japonesa"
La Picantería,Antojaddos,9,"Comida norteña con carácter. El arroz con pato fue intenso y sabroso.","Arroz con pato","Surquillo","Criollo"
La Picantería,Elfoodieloo,8,"Platos generosos y bien sazonados. El chupe de camarones fue reconfortante.","Chupe de camarones","Surquillo","Criollo"
La Picantería,Vicente Visla,9,"Ideal para almuerzo contundente. El seco de cabrito fue el plato estrella.","Seco de cabrito","Surquillo","Criollo"
El Mercado,Paola Miglio,9,"Pescados frescos y cocina de autor. El tiradito de conchas fue delicado y sabroso.","Tiradito de conchas","Miraflores","Pescados y mariscos"
El Mercado,Yo Madre,8,"Ambiente relajado y buena atención. El ceviche de bonito fue fresco y equilibrado.","Ceviche de bonito","Miraflores","Pescados y mariscos"
El Mercado,Atodocomer,9,"Perfecto para almuerzo gourmet. El arroz con conchas fue el más sabroso.","Arroz con conchas","Miraflores","Pescados y mariscos"
Nombre,Autor,Calificacion,Review,Plato-estrella,Distrito,Tipo_comida
La Nacional,Antojaddos,8,"Comida peruana moderna con buen sabor. El arroz con pato fue el más destacado.","Arroz con pato","San Isidro","Criollo"
La Nacional,Elfoodieloo,9,"Buena atención y platos bien presentados. El ají de gallina con quinua fue delicioso.","Ají de gallina con quinua","San Isidro","Criollo"
La Nacional,Vicente Visla,8,"Ideal para almuerzo ejecutivo. El lomo saltado con papas nativas fue excelente.","Lomo saltado con papas nativas","San Isidro","Criollo"
